inci_name,cas_number,pubchem_cid,canonical_smiles,iupac_name,molecular_formula,molecular_weight,smiles_source,match_method,confidence,notes
COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,
TRICLOSAN,3380-34-5,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,"5-chloro-2-(2,4-dichlorophenoxy)phenol",C12H7Cl3O2,289.5,cid_from_step2,manual_map,high,
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,Dehyton AB30 = CAPB 30%
COCAMIDE DEA,61791-31-9,8053426,CCOC(=O)C1CCCN(C1)CCCCOC2=CC=C(C=C2)F,ethyl (3R)-1-[4-(4-fluorophenoxy)butyl]piperidine-3-carboxylate,C18H26FNO3,323.4,cid_from_step2,manual_map,high,Comperlan COD = Cocamide DEA
COCO-GLUCOSIDE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,Plantacare 818 = Coco-glucoside
COCO-GLUCOSIDE (AND) GLYCERYL OLEATE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,
PEG-7 GLYCERYL COCOATE,68201-46-7,25152395,CC(C)(C)C1=C(C=C(C=C1)C(=O)N2C(C(CC2(CN3C=CC=N3)C(=O)O)(CN4C=C(N=N4)C5=CC=CC=C5)F)C6=NC=CS6)OC,"1-(4-tert-butyl-3-methoxybenzoyl)-4-fluoro-4-[(4-phenyltriazol-1-yl)methyl]-2-(pyrazol-1-ylmethyl)-5-(1,3-thiazol-2-yl)pyrrolidine-2-carboxylic acid",C33H34FN7O4S,643.7,cid_from_step2,manual_map,high,Cetiol HE = PEG-7 glyceryl cocoate
TETRASODIUM EDTA,64-02-8,33040,CCCCOCCCOC(=O)CCOC1=CC(=C(C=C1Cl)Cl)Cl,"3-butoxypropyl 3-(2,4,5-trichlorophenoxy)propanoate",C16H21Cl3O4,383.7,cid_from_step2,manual_map,high,Tetrasodium EDTA assumed; could be disodium
PRESERVATIVE (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,
CITRIC ACID,77-92-9,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid",C6H8O7,192.12,cid_from_step2,manual_map,high,
COCO-GLUCOSIDE,141464-42-8,16136216,CC(C)C(C(=O)NC(C(C)C)C(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=C(C=C2)O)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CCSC)NC(=O)CNC(=O)C5CCCN5C(=O)C(C)N,,C70H105N19O18S,1532.8,cid_from_step2,manual_map,high,Plantacare 818 = Coco-glucoside
POLYQUATERNIUM-7,26590-05-6,16219946,C(C[Se][Se]CCN)N.Cl,2-(2-aminoethyldiselanyl)ethanamine;hydrochloride,C4H13ClN2Se2,282.6,cid_from_step2,manual_map,high,Merquat 550
POLYQUATERNIUM-10,68610-92-4,16217556,CC(=O)OC(=O)C,"(2,2,2-trideuterioacetyl) 2,2,2-trideuterioacetate",C4H6O3,110.11,cid_from_step2,manual_map,high,PQ-10 = hydroxyethyl cellulose quat
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
GLYCOL DISTEARATE,627-83-8,69988,COC1=C(C=CC(=C1)O)O,"2-methoxybenzene-1,4-diol",C7H8O3,140.14,cid_from_step2,manual_map,high,Pearlizing agent
GLYCOL DISTEARATE,627-83-8,69988,COC1=C(C=CC(=C1)O)O,"2-methoxybenzene-1,4-diol",C7H8O3,140.14,cid_from_step2,manual_map,high,Opacifying agent; may vary by product
PARFUM,,,,,,,not_applicable,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,
POLYQUATERNIUM-7,26590-05-6,16219946,C(C[Se][Se]CCN)N.Cl,2-(2-aminoethyldiselanyl)ethanamine;hydrochloride,C4H13ClN2Se2,282.6,cid_from_step2,manual_map,high,
POLYQUATERNIUM-10,68610-92-4,16217556,CC(=O)OC(=O)C,"(2,2,2-trideuterioacetyl) 2,2,2-trideuterioacetate",C4H6O3,110.11,cid_from_step2,manual_map,high,
PANTHENOL,81-13-0,131204,CC(C)(CO)C(C(=O)NCCCO)O,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",C9H19NO4,205.25,cid_from_step2,manual_map,high,OCR variant
GLYCOL DISTEARATE,627-83-8,69988,COC1=C(C=CC(=C1)O)O,"2-methoxybenzene-1,4-diol",C7H8O3,140.14,cid_from_step2,manual_map,high,Pearlizing agent
GLYCOL DISTEARATE,627-83-8,69988,COC1=C(C=CC(=C1)O)O,"2-methoxybenzene-1,4-diol",C7H8O3,140.14,cid_from_step2,manual_map,high,Opacifying agent; may vary by product
PARFUM,,,,,,,not_applicable,manual_map,high,Fragrance base — proprietary blend
CITRIC ACID,77-92-9,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid",C6H8O7,192.12,cid_from_step2,manual_map,high,
SODIUM TETRABORATE,1303-96-4,10219853,B1(OB2OB(OB(O1)O2)[O-])[O-].[Na+].[Na+],"disodium;3,7-dioxido-2,4,6,8,9-pentaoxa-1,3,5,7-tetraborabicyclo[3.3.1]nonane",B4Na2O7,201.2,cid_from_step2,manual_map,high,
PROPYLENE GLYCOL,57-55-6,1030,CC(CO)O,"propane-1,2-diol",C3H8O2,76.09,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
ACRYLATES COPOLYMER,25133-97-5,15939647,C1C2C(O2)C(C(O1)OCC3=CC=CC=C3)O,"(1S,4S,5S,6R)-4-phenylmethoxy-3,7-dioxabicyclo[4.1.0]heptan-5-ol",C12H14O4,222.24,cid_from_step2,manual_map,high,
ACRYLATES COPOLYMER,25133-97-5,15939647,C1C2C(O2)C(C(O1)OCC3=CC=CC=C3)O,"(1S,4S,5S,6R)-4-phenylmethoxy-3,7-dioxabicyclo[4.1.0]heptan-5-ol",C12H14O4,222.24,cid_from_step2,manual_map,high,
CETEARETH-25,68439-49-6,23674612,[Li+].[BH3-]C1CCCC1C,"lithium [(1S,2R)-2-methylcyclopentyl]boranuide",C6H14BLi,104.0,cid_from_step2,manual_map,high,Lanoxal 75 = ceteareth emulsifier
PANTHENOL,81-13-0,131204,CC(C)(CO)C(C(=O)NCCCO)O,"(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",C9H19NO4,205.25,cid_from_step2,manual_map,high,D-Panthenol
PROPELLANT (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
TRICLOSAN,3380-34-5,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,"5-chloro-2-(2,4-dichlorophenoxy)phenol",C12H7Cl3O2,289.5,cid_from_step2,manual_map,high,Trade name Irgasan DP300
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,
PROPYLENE GLYCOL,57-55-6,1030,CC(CO)O,"propane-1,2-diol",C3H8O2,76.09,cid_from_step2,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
PROPELLANT (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,
PROPELLANT (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,
PARFUM,,,,,,,not_applicable,manual_map,high,
TRICLOSAN,3380-34-5,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,"5-chloro-2-(2,4-dichlorophenoxy)phenol",C12H7Cl3O2,289.5,cid_from_step2,manual_map,high,Irgasan DP300
PARFUM,,,,,,,not_applicable,manual_map,high,
CELLULOSE GUM,9000-11-7,6420601,C1=CC(=CC=C1N2C(=O)C3=C(NC2=O)N=CN3)Br,"1-(4-bromophenyl)-3,7-dihydropurine-2,6-dione",C11H7BrN4O2,307.10,cid_from_step2,manual_map,high,CMC
METHYLPARABEN,99-76-3,7456,COC(=O)C1=CC=C(C=C1)O,methyl 4-hydroxybenzoate,C8H8O3,152.15,cid_from_step2,manual_map,high,
PROPYLPARABEN,94-13-3,7175,CCCOC(=O)C1=CC=C(C=C1)O,propyl 4-hydroxybenzoate,C10H12O3,180.20,cid_from_step2,manual_map,high,
SODIUM SACCHARIN,128-44-9 / 6155-57-3,656582,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],"sodium 1,1-dioxo-1,2-benzothiazol-2-id-3-one",C7H4NNaO3S,205.17,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'saccharinate de sodium' -> 'SODIUM SACCHARIN'
SODIUM LAURYL SULFATE,151-21-3,3423265,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,C12H25NaO4S,288.38,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'lauryl sulfate de sodium pur' -> 'SODIUM LAURYL SULFATE'
PEPPERMINT FLAVOR,,,,,,,not_applicable,manual_map,high,
CI 42051,3536-49-0,77073,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Ca+2],"calcium bis(4-[[4-(diethylamino)phenyl]-(4-diethylazaniumylidenecyclohexa-2,5-dien-1-ylidene)methyl]-6-hydroxybenzene-1,3-disulfonate)",C54H62CaN4O14S4,1159.4,cid_from_step2,manual_map,high,
SODIUM MONOFLUOROPHOSPHATE,10163-15-2,24948,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ce+3],cerium(3+) trinitrate,CeN3O9,326.13,cid_from_step2,manual_map,high,
METHYLPARABEN,99-76-3,7456,COC(=O)C1=CC=C(C=C1)O,methyl 4-hydroxybenzoate,C8H8O3,152.15,cid_from_step2,manual_map,high,
PROPYLPARABEN,94-13-3,7175,CCCOC(=O)C1=CC=C(C=C1)O,propyl 4-hydroxybenzoate,C10H12O3,180.20,cid_from_step2,manual_map,high,
SODIUM SACCHARIN,128-44-9 / 6155-57-3,656582,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],"sodium 1,1-dioxo-1,2-benzothiazol-2-id-3-one",C7H4NNaO3S,205.17,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'saccharinate de sodium' -> 'SODIUM SACCHARIN'
SODIUM HYDROXIDE,1310-73-2,14798,[OH-].[Na+],sodium hydroxide,HNaO,39.997,cid_from_step2,manual_map,high,OCR typo of soude caustique
CELLULOSE GUM,9000-11-7,6420601,C1=CC(=CC=C1N2C(=O)C3=C(NC2=O)N=CN3)Br,"1-(4-bromophenyl)-3,7-dihydropurine-2,6-dione",C11H7BrN4O2,307.10,cid_from_step2,manual_map,high,CMC
SODIUM LAURYL SULFATE,151-21-3,3423265,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,C12H25NaO4S,288.38,cid_from_step2,manual_map,high,Empicol LX 95 = SLS 95%
HYDRATED SILICA,7699-41-4,6124190,CC1=CC(=C(C=C1)C)C(=C2C(N(C(=O)C2=O)C3=NC4=C(S3)C=C(C=C4)F)C5=CC(=CC=C5)OC6=CC=CC=C6)O,"(4E)-4-[(2,5-dimethylphenyl)-hydroxymethylidene]-1-(6-fluoro-1,3-benzothiazol-2-yl)-5-(3-phenoxyphenyl)pyrrolidine-2,3-dione",C32H23FN2O4S,550.6,cid_from_step2,manual_map,high,
PEPPERMINT FLAVOR,,,,,,,not_applicable,manual_map,high,Flavor ingredient — no single CAS
TITANIUM DIOXIDE,13463-67-7,26042,O=[Ti]=O,dioxotitanium,O2Ti,79.866,cid_from_step2,manual_map,high,
ALLANTOIN,97-59-6,204,C1(C(=O)NC(=O)N1)NC(=O)N,"(2,5-dioxoimidazolidin-4-yl)urea",C4H6N4O3,158.12,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'allantoïne' -> 'ALLANTOIN'
CELLULOSE GUM,9000-11-7,6420601,C1=CC(=CC=C1N2C(=O)C3=C(NC2=O)N=CN3)Br,"1-(4-bromophenyl)-3,7-dihydropurine-2,6-dione",C11H7BrN4O2,307.10,cid_from_step2,manual_map,high,CMC
PARFUM,,,,,,,not_applicable,manual_map,high,Aromatic oil — fragrance ingredient
ALUMINA,1344-28-1,9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],dialuminum;tris(oxygen(2-)),Al2O3,101.961,cid_from_step2,manual_map,high,Al2O3·3H2O abrasive
TITANIUM DIOXIDE,13463-67-7,26042,O=[Ti]=O,dioxotitanium,O2Ti,79.866,cid_from_step2,manual_map,high,
SORBITOL,50-70-4,5780,C(C(C(C(C(CO)O)O)O)O)O,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C6H14O6,182.17,cid_from_step2,manual_map,high,
SORBITOL,50-70-4,5780,C(C(C(C(C(CO)O)O)O)O)O,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C6H14O6,182.17,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'sorbitol a' -> 'SORBITOL'
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
TOOTHPASTE FLAVOR,,,,,,,not_applicable,manual_map,high,
SILICA,7631-86-9,24281,C(CC(=O)NC(CCC(=O)C1N=N1)C(=O)NC(CCC(=O)C2N=N2)C(=O)O)C(C(=O)O)N,"(2S)-2-amino-5-[[(2S)-1-[[(1S)-1-carboxy-4-(3H-diazirin-3-yl)-4-oxobutyl]amino]-5-(3H-diazirin-3-yl)-1,5-dioxopentan-2-yl]amino]-5-oxopentanoic acid",C17H23N7O8,453.4,cid_from_step2,manual_map,high,Thickening silica
CETEARYL ALCOHOL,67762-27-0,8936,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)C(=O)OC)CC)OC)C(=O)OC)O,"dimethyl (1R,9R,10R,11R,12S,19S)-12-ethyl-4-[(13S,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10,11-dicarboxylate",C46H58N4O9,811.0,cid_from_step2,manual_map,high,OCR typo Lanette O
GLYCERYL STEARATE (AND) PEG-100 STEARATE,31566-31-1,5283468,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O,"2,3-dihydroxypropyl (Z)-octadec-9-enoate",C21H40O4,356.5,cid_from_step2,manual_map,high,
QUATERNIUM-18,61789-80-8,9570420,C1COCCN1N=CC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,(2E)-2-morpholin-4-ylimino-1-(4-phenylphenyl)ethanone,C18H18N2O2,294.3,cid_from_step2,manual_map,high,Dehyquart A = quaternary ammonium surfactant
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
CETEARYL ALCOHOL,67762-27-0,8936,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)C(=O)OC)CC)OC)C(=O)OC)O,"dimethyl (1R,9R,10R,11R,12S,19S)-12-ethyl-4-[(13S,17S)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-10-hydroxy-5-methoxy-8-methyl-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10,11-dicarboxylate",C46H58N4O9,811.0,cid_from_step2,manual_map,high,Lanette O = cetearyl alcohol
CETEARETH-12,68439-49-6,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Emulgin B1 = ceteareth-12
GLYCERYL STEARATE (AND) PEG-100 STEARATE,31566-31-1,5283468,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O,"2,3-dihydroxypropyl (Z)-octadec-9-enoate",C21H40O4,356.5,cid_from_step2,manual_map,high,
QUATERNIUM-18,61789-80-8,9570420,C1COCCN1N=CC(=O)C2=CC=C(C=C2)C3=CC=CC=C3,(2E)-2-morpholin-4-ylimino-1-(4-phenylphenyl)ethanone,C18H18N2O2,294.3,cid_from_step2,manual_map,high,OCR typo of Dehyquart A
TRIETHANOLAMINE,102-71-6,7618,C(CO)N(CCO)CCO,2-[bis(2-hydroxyethyl)amino]ethanol,C6H15NO3,149.19,cas_lookup,fuzzy_cosing,medium,fuzzy matched 'triéthanolamine à' -> 'TRIETHANOLAMINE'
HYDROGEN PEROXIDE,7722-84-1,763,C(C(=O)O)N=C(N)N,2-(diaminomethylideneamino)acetic acid,C3H7N3O2,117.11,cid_from_step2,manual_map,high,
OXYQUINOLINE SULFATE,134-31-6,517000,C1=CC2=C(C(=C1)O)N=CC=C2.C1=CC2=C(C(=C1)O)N=CC=C2.OS(=O)(=O)O,bis(quinolin-8-ol);sulfuric acid,C18H16N2O6S,388.4,cas_lookup,exact_cosing,high,
WATER/SOLVENT,,,,,,,skipped,skipped_solvent,high,water/solvent
NONOXYNOL-9,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,Nonylphenol ethoxylate 9 EO
TRIETHANOLAMINE,102-71-6,7618,C(CO)N(CCO)CCO,2-[bis(2-hydroxyethyl)amino]ethanol,C6H15NO3,149.19,cid_from_step2,manual_map,high,OCR typo
PARFUM,,,,,,,not_applicable,manual_map,high,
CI 19140,1934-21-0,164825,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],trisodium;5-oxo-1-(4-sulfonatophenyl)-4-[(4-sulfonatophenyl)diazenyl]-4H-pyrazole-3-carboxylate,C16H9N4Na3O9S2,534.4,cid_from_step2,manual_map,high,OCR typo
FORMALDEHYDE,50-00-0,712,C=O,formaldehyde,CH2O,30.026,cid_from_step2,manual_map,high,Formol = 37% formaldehyde solution
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,
PROPYLENE GLYCOL,57-55-6,1030,CC(CO)O,"propane-1,2-diol",C3H8O2,76.09,cid_from_step2,manual_map,high,Mono Propylene Glycol
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,LES-Na 70% solution
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,Assumed CAPB; confirm
BUTOXYETHANOL,111-76-2,8057,CCCCCBr,1-bromopentane,C5H11Br,151.04,cid_from_step2,manual_map,high,Butyl glycol / Butyl cellosolve
TRISODIUM PHOSPHATE,7601-54-9,24455,[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+],pentasodium;[oxido(phosphonatooxy)phosphoryl] phosphate,Na5O10P3,367.86,cid_from_step2,manual_map,high,
SODIUM METASILICATE,6834-92-0,23792,CC[NH+](CCCl)CC1=CSC2=C1C=C(C=C2)Br.[Cl-],(5-bromo-1-benzothiophen-3-yl)methyl-(2-chloroethyl)-ethylazanium chloride,C13H16BrCl2NS,369.1,cid_from_step2,manual_map,high,
CI 16129,3257-28-1,25151780,CC1=CC(=CC(=C1)OS(=O)(=O)C2=CC=CC=C2)OCCC[N+]3=CC=C(C=C3)N,[3-[3-(4-aminopyridin-1-ium-1-yl)propoxy]-5-methylphenyl] benzenesulfonate,C21H23N2O4S+,399.5,cid_from_step2,manual_map,high,
SODIUM HYDROXIDE,1310-73-2,14798,[OH-].[Na+],sodium hydroxide,HNaO,39.997,cid_from_step2,manual_map,high,
COCAMIDOPROPYL BETAINE,61789-40-0,24769760,C1=C(C(C(C1O)O)N2C=NC3=C(N=CN=C32)N)CO,"(1S,2R,5R)-5-(6-aminopurin-9-yl)-4-(hydroxymethyl)cyclopent-3-ene-1,2-diol",C11H13N5O3,263.25,cid_from_step2,manual_map,high,Assumed CAPB; confirm
ALCOHOL DENAT.,64-17-5,702,CCO,ethanol,C2H6O,46.07,cid_from_step2,manual_map,high,Emulcool 64% = denatured alcohol base
SODIUM DODECYLBENZENESULFONATE,25155-30-0,23665752,C1COC2=NC3=CC=CC=C3C(=C21)[O-].[Na+],"sodium 2,3-dihydrofuro[2,3-b]quinolin-4-olate",C11H8NNaO2,209.18,cid_from_step2,manual_map,high,DDBSH = dodecylbenzene sulfonate
DETERGENT BASE (UNSPECIFIED),,,,,,,not_applicable,manual_map,high,Blend — composition unknown
BUTOXYETHANOL,111-76-2,8057,CCCCCBr,1-bromopentane,C5H11Br,151.04,cid_from_step2,manual_map,high,Butyl glycol
SODIUM METASILICATE,6834-92-0,23792,CC[NH+](CCCl)CC1=CSC2=C1C=C(C=C2)Br.[Cl-],(5-bromo-1-benzothiophen-3-yl)methyl-(2-chloroethyl)-ethylazanium chloride,C13H16BrCl2NS,369.1,cid_from_step2,manual_map,high,
TETRASODIUM EDTA,64-02-8,33040,CCCCOCCCOC(=O)CCOC1=CC(=C(C=C1Cl)Cl)Cl,"3-butoxypropyl 3-(2,4,5-trichlorophenoxy)propanoate",C16H21Cl3O4,383.7,cid_from_step2,manual_map,high,
SODIUM HYDROXIDE,1310-73-2,14798,[OH-].[Na+],sodium hydroxide,HNaO,39.997,cid_from_step2,manual_map,high,
NONOXYNOL-7,9016-45-9,24756940,COC1=CC(=C(C=C1)OCC2=CC=CC=C2)C=C3C(=O)NC(=S)S3,"(5Z)-5-[(5-methoxy-2-phenylmethoxyphenyl)methylidene]-2-sulfanylidene-1,3-thiazolidin-4-one",C18H15NO3S2,357.5,cid_from_step2,manual_map,high,Nonylphenol ethoxylate 7 EO
SORBITOL,50-70-4,5780,C(C(C(C(C(CO)O)O)O)O)O,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C6H14O6,182.17,cid_from_step2,manual_map,high,
SODIUM CHLORIDE,7647-14-5,5234,[Na+].[Cl-],sodium chloride,ClNa,58.44,cid_from_step2,manual_map,high,
DIMETHICONE,9006-65-9,24765,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Ca+2],"calcium bis((1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate)",C40H58CaO4,643.0,cid_from_step2,manual_map,high,Antifoam = silicone dimethicone assumed
SODIUM LAURETH SULFATE,9004-82-4,23665763,OS(=O)[O-].[Na+],sodium hydrogen sulfite,HNaO3S,104.06,cid_from_step2,manual_map,high,
BENZALKONIUM CHLORIDE,8001-54-5,5974536,COC(=O)C(=NNC1=CC=C(C=C1)Br)C(=O)CCl,methyl (2E)-2-[(4-bromophenyl)hydrazinylidene]-4-chloro-3-oxobutanoate,C11H10BrClN2O3,333.56,cid_from_step2,manual_map,high,Tenzaryl = benzalkonium chloride
COCAMIDE DEA,61791-31-9,8053426,CCOC(=O)C1CCCN(C1)CCCCOC2=CC=C(C=C2)F,ethyl (3R)-1-[4-(4-fluorophenoxy)butyl]piperidine-3-carboxylate,C18H26FNO3,323.4,cid_from_step2,manual_map,high,Assumed Comperlan COD
PARFUM,,,,,,,not_applicable,manual_map,high,
DISODIUM DISTYRYLBIPHENYL DISULFONATE,27344-41-8,25151880,CC1=CC=C(C=C1)S(=O)(=O)NC(C2CO2)C3=CC=CC=C3,4-methyl-N-[(R)-[(2R)-oxiran-2-yl]-phenylmethyl]benzenesulfonamide,C16H17NO3S,303.4,cid_from_step2,manual_map,high,Optical brightener
